uid,time,chan0,chan1,chan2,chan3,conver,pattern
0,0,0,1,0,2,0,1
0,1,0,2,1,0,2,1
0,2,0,0,0,1,0,1
0,3,0,0,0,2,1,1
0,4,1,0,0,1,0,1
0,5,3,0,0,0,0,1
0,6,0,0,0,1,0,1
0,7,1,0,0,0,0,1
0,8,0,2,1,0,0,1
0,9,0,0,1,0,1,1
0,10,1,0,0,0,0,1
0,11,0,0,0,2,1,1
0,12,1,2,0,0,2,1
0,13,0,0,0,1,1,1
0,14,0,0,0,0,0,0
0,15,0,0,1,0,0,0
0,16,3,1,0,1,2,0
0,17,0,0,0,1,0,0
0,18,0,0,0,0,0,0
0,19,3,0,1,0,0,0
0,20,0,2,0,0,3,0
0,21,0,1,1,0,0,0
0,22,2,1,1,0,2,0
0,23,1,0,1,0,2,0
0,24,0,2,0,0,0,0
0,25,0,1,2,0,1,0
0,26,1,1,0,0,0,0
0,27,0,1,1,0,2,0
0,28,1,3,1,1,0,0
0,29,0,2,0,0,0,0
0,30,2,2,0,0,0,0
0,31,1,1,0,1,2,0
0,32,0,0,0,2,0,0
0,33,0,0,1,1,0,0
0,34,0,1,0,0,0,0
0,35,0,0,1,0,0,0
0,36,0,1,0,1,1,0
0,37,0,2,0,1,2,0
0,38,1,0,0,0,2,0
0,39,1,0,0,0,0,0
0,40,0,1,0,3,1,0
0,41,1,1,0,0,1,0
0,42,0,0,0,1,0,0
0,43,0,1,1,0,0,0
0,44,1,0,0,0,0,0
0,45,0,0,1,1,1,0
0,46,2,1,1,2,3,0
0,47,2,1,0,1,0,0
0,48,1,1,0,1,0,0
0,49,1,0,0,2,1,0
0,50,0,0,2,1,0,2
0,51,0,2,0,0,0,2
0,52,1,0,0,1,2,2
0,53,1,1,0,0,0,2
0,54,1,2,1,0,0,2
0,55,0,1,0,0,0,2
0,56,0,1,1,0,0,2
0,57,1,0,2,0,0,2
0,58,0,2,0,0,0,2
0,59,1,0,0,0,0,2
0,60,1,1,0,0,0,2
0,61,0,2,0,1,2,1
0,62,0,2,0,1,1,1
0,63,0,0,0,0,0,0
0,64,0,1,0,0,0,0
0,65,0,0,0,0,0,0
0,66,0,0,2,0,1,0
0,67,3,2,0,0,4,0
0,68,0,0,2,1,1,1
0,69,1,2,1,0,0,1
0,70,0,0,0,0,0,1
0,71,3,1,1,0,2,1
0,72,1,0,1,1,1,1
0,73,1,0,0,1,1,1
0,74,1,1,0,1,3,1
0,75,0,1,0,0,0,1
0,76,0,0,1,2,1,1
0,77,0,1,1,0,1,2
0,78,0,2,2,0,3,2
0,79,1,1,0,1,0,2
0,80,1,2,1,1,2,2
0,81,0,1,1,1,1,2
0,82,0,1,1,1,0,1
0,83,0,0,2,1,1,1
0,84,1,0,0,0,0,1
0,85,0,2,1,0,1,1
0,86,0,0,0,3,1,1
0,87,0,0,4,0,0,1
0,88,0,1,0,1,0,2
0,89,1,1,0,3,1,1
0,90,0,0,0,0,0,2
0,91,2,2,0,0,1,2
0,92,1,1,1,1,0,2
0,93,0,0,0,0,0,2
0,94,1,0,1,1,1,2
0,95,0,1,0,0,0,2
0,96,2,0,0,1,1,2
0,97,0,0,0,0,0,2
0,98,2,0,1,0,2,2
0,99,0,1,1,0,0,2
0,100,0,1,0,0,0,2
0,101,1,1,0,0,1,1
0,102,1,0,0,0,0,1
0,103,3,0,1,0,2,1
0,104,0,0,1,1,1,1
0,105,1,0,0,4,1,1
0,106,2,0,0,1,0,1
0,107,0,0,0,0,1,2
0,108,1,1,0,0,0,2
0,109,0,3,1,0,0,2
0,110,0,0,1,0,1,2
0,111,1,0,0,0,0,0
0,112,0,0,0,0,0,0
0,113,0,0,0,1,0,0
0,114,0,0,0,0,0,0
0,115,0,0,0,0,0,0
0,116,2,2,1,0,2,0
0,117,1,2,1,0,0,0
0,118,0,0,0,1,0,0
0,119,2,3,1,3,2,0
1,0,0,0,1,0,0,1
1,1,0,1,0,0,1,2
